"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D3";"Diode_Schotky_100V_1A_Mini_SMA";1;"SD1206T020S1R0";;;
2;"U2";"QFN50P300X300X80-17N";1;"MAX98357AETE+";;;
3;",,,,,,,";"";8;"";;;
4;"C2";"C_1206";1;"10uF";;;
5;"C1,C4";"C_1206";2;"1uF";;;
6;"R3,R4";"R_1206";2;"1k";;;
7;"U1";"TFT_ST7735";1;"Adafruit_TFT_ST7735";;;
8;"R1";"R_1206";1;"1M";;;
9;"D2";"LED_1206";1;"L_LED";;;
10;"C3";"C_1206";1;"0.1uF";;;
11;"SW9";"slideswitchCK";1;"Slideswitch";;;
12;"D1";"LED_1206";1;"R_LED";;;
13;"LS1";"CVS-1508";1;"Speaker";;;
14;"Ref**";"usb";1;"Val**";;;
15;"J1";"1022";1;"1020_battery_holder";;;
16;"U5";"RPi_Pico_SMD_TH_mod";1;"Pico";;;
